colour,player,calculatedMoves,boardSize,time_allowed
Black,Minimax,320,5,
White,Minimax,320,5,
Black,Minimax,320,5,
White,Minimax,320,5,
Black,Minimax,320,5,
White,Minimax,320,5,
Black,Minimax,320,5,
White,Minimax,320,5,
Black,Minimax,320,5,
White,Minimax,320,5,
Black,Minimax,320,5,
White,Minimax,320,5,
Black,Minimax,320,5,
White,Minimax,320,5,
Black,Minimax,320,5,
White,Minimax,320,5,
Black,Minimax,320,5,
White,Minimax,320,5,
Black,Minimax,320,5,
White,Minimax,320,5,
Black,Minimax,320,5,
White,AlphaBeta,24,5,
Black,Minimax,320,5,
White,AlphaBeta,22,5,
Black,Minimax,320,5,
White,AlphaBeta,20,5,
Black,Minimax,320,5,
White,AlphaBeta,18,5,
Black,Minimax,320,5,
White,AlphaBeta,15,5,
Black,Minimax,320,5,
White,AlphaBeta,12,5,
Black,Minimax,320,5,
White,AlphaBeta,10,5,
Black,Minimax,320,5,
White,AlphaBeta,8,5,
Black,Minimax,320,5,
White,AlphaBeta,4,5,
Black,Minimax,320,5,
Black,Minimax,320,5,
White,Minimax,320,5,
Black,Minimax,320,5,
White,Minimax,320,5,
Black,Minimax,320,5,
White,Minimax,320,5,
Black,Minimax,320,5,
White,Minimax,320,5,
Black,Minimax,320,5,
White,Minimax,320,5,
Black,Minimax,320,5,
White,Minimax,320,5,
Black,Minimax,320,5,
White,Minimax,320,5,
Black,Minimax,320,5,
White,Minimax,320,5,
Black,Minimax,320,5,
White,Minimax,320,5,
Black,Minimax,320,5,
Black,Minimax,320,5,
White,Minimax,320,5,
Black,Minimax,320,5,
White,Minimax,320,5,
Black,Minimax,320,5,
White,Minimax,320,5,
Black,Minimax,320,5,
White,Minimax,320,5,
Black,Minimax,320,5,
White,Minimax,320,5,
Black,Minimax,320,5,
White,Minimax,320,5,
Black,Minimax,320,5,
White,Minimax,320,5,
Black,Minimax,320,5,
White,Minimax,320,5,
Black,Minimax,320,5,
White,Minimax,320,5,
Black,Minimax,320,5,
Black,Minimax,320,5,
White,AlphaBeta,24,5,
Black,Minimax,320,5,
White,AlphaBeta,22,5,
Black,Minimax,320,5,
White,AlphaBeta,20,5,
Black,Minimax,320,5,
White,AlphaBeta,18,5,
Black,Minimax,320,5,
White,AlphaBeta,16,5,
Black,Minimax,320,5,
White,AlphaBeta,14,5,
Black,Minimax,320,5,
White,AlphaBeta,10,5,
Black,Minimax,320,5,
White,AlphaBeta,6,5,
Black,Minimax,320,5,
White,AlphaBeta,2,5,
Black,Minimax,320,5,5
White,AlphaBeta,15,5,5
Black,Minimax,320,5,5
White,AlphaBeta,22,5,5
Black,Minimax,320,5,5
White,AlphaBeta,20,5,5
Black,Minimax,320,5,5
White,AlphaBeta,18,5,5
Black,Minimax,320,5,5
White,AlphaBeta,15,5,5
Black,Minimax,320,5,5
White,AlphaBeta,13,5,5
Black,Minimax,320,5,5
White,AlphaBeta,10,5,5
Black,Minimax,320,5,5
White,AlphaBeta,7,5,5
Black,Minimax,320,5,5
White,AlphaBeta,5,5,5
Black,Minimax,320,5,5
White,AlphaBeta,3,5,5
Black,Minimax,188,13,15
White,AlphaBeta,2,13,15
Black,Minimax,195,13,15
White,AlphaBeta,2,13,15
Black,Minimax,198,13,15
White,AlphaBeta,2,13,15
Black,Minimax,195,13,15
White,AlphaBeta,2,13,15
Black,Minimax,196,13,15
White,AlphaBeta,2,13,15
Black,Minimax,204,13,15
White,AlphaBeta,2,13,15
